Disease,Title,Journal,Year,PMID
Cardiac Disease,"Life's Essential 8, Cardiac Disease, and Periodontitis: An Important Association.",International dental journal,2024,39438180
s Disease,Glottal Insufficiency and Parkinson's Disease: A Scoping Review of Vocal Fold Medialization Procedures.,Journal of voice : official journal of the Voice Foundation,2024,39438169
for the Diagnosis of Periodontal Disease,Potential Application of Anti-Cyclic Citrullinated Peptide (Anti-CCP) for the Diagnosis of Periodontal Disease in Patients with Rheumatoid Arthritis with Cut-Off Determination.,Clinical medicine & research,2024,39438146
stage kidney disease,Virtual reality-guided mindfulness intervention to enhance psychosocial well-being in caregivers of end-stage kidney disease patients: protocol for a mixed-methods pilot randomised controlled trial.,BMJ open,2024,39438104
Physical Activity Elements and Adverse Outcomes in Patients with Chronic Kidney Disease,Physical Activity Elements and Adverse Outcomes in Patients with Chronic Kidney Disease in Guangdong (PEAKING) project: protocol for a prospective cohort study.,BMJ open,2024,39438098
Projected health workforce requirements and shortage for addressing the disease,"Projected health workforce requirements and shortage for addressing the disease burden in the WHO Africa Region, 2022-2030: a needs-based modelling study.",BMJ global health,2024,39438055
communicable disease,Maintaining non-communicable disease (NCD) services during the COVID-19 pandemic: lessons from Thailand.,BMJ global health,2024,39438053
Interstitial lung disease,Contemporary Concise Review 2023: Interstitial lung disease.,"Respirology (Carlton, Vic.)",2024,39438044
Quality of life in people with sickle cell disease,Quality of life in people with sickle cell disease treated with automated red blood cell exchange.,Vox sanguinis,2024,39438018
cerebrovascular Disease,Is Farming a Risk Occupation for Cardio-cerebrovascular Diseases? A Scoping Review on Cardio-cerebrovascular Disease Risk in Farmers.,Journal of preventive medicine and public health = Yebang Uihakhoe chi,2024,39438011
Association between Tumor Size at the Time of Disease,Association between Tumor Size at the Time of Disease Progression and Survival Outcomes.,Cancer research and treatment,2024,39438000
Monitoring in Patients With Cardiac Disease,Nurses' Experiences With Virtual Consultations and Home-Monitoring in Patients With Cardiac Disease: A Systematic Review and Qualitative Meta-Synthesis of Results.,Nursing & health sciences,2024,39437992
acting triple therapy for chronic obstructive pulmonary disease,[Use of long-acting triple therapy for chronic obstructive pulmonary disease (COPD) in practice: The ELETHON physicians' survey].,"Pneumologie (Stuttgart, Germany)",2024,39437991
Insights into disease,Insights into disease resilience and longevity: Hints from COVID-19 recovered nonagenarians and centenarians.,Gene,2024,39437899
inhibit ferroptosis and aggravate renal fibrosis,Increased NPM1 inhibit ferroptosis and aggravate renal fibrosis via Nrf2 pathway in chronic kidney disease.,Biochimica et biophysica acta. Molecular basis of disease,2024,39437857
pathway in chronic kidney disease,Increased NPM1 inhibit ferroptosis and aggravate renal fibrosis via Nrf2 pathway in chronic kidney disease.,Biochimica et biophysica acta. Molecular basis of disease,2024,39437857
s Disease,Licochalcone A Ameliorates Cognitive Dysfunction in an Alzheimer's Disease Model by Inhibiting Endoplasmic Reticulum Stress-Mediated Apoptosis.,Journal of geriatric psychiatry and neurology,2024,39437838
Outpatient exercise training for chronic lung disease,"[Outpatient exercise training for chronic lung disease - for whom, how and why?].",Deutsche medizinische Wochenschrift (1946),2024,39437830
PEEP in Chronic Obstructive Pulmonary Disease,Activation of Automatic Tube Compensation Mode Attenuates Auto-PEEP in Chronic Obstructive Pulmonary Disease Patients.,The clinical respiratory journal,2024,39437807
Assessing Disease,Assessing Disease Control in Patients with Atopic Dermatitis by Using the Atopic Dermatitis Control Tool in Daily Practice.,"Dermatology (Basel, Switzerland)",2024,39437766
associated steatotic liver disease,Ultrasound normalized local variance to assess metabolic dysfunction-associated steatotic liver disease.,Clinical imaging,2024,39437703
s disease,"Relationship between MRI brain-age heterogeneity, cognition, genetics and Alzheimer's disease neuropathology.",EBioMedicine,2024,39437659
s disease,Detection and staging of Alzheimer's disease by plasma pTau217 on a high throughput immunoassay platform.,EBioMedicine,2024,39437657
specific control of foot and mouth disease,One-size measures do not fit all areas: Evaluation of area-specific control of foot and mouth disease in Thailand using bioeconomic modelling.,Preventive veterinary medicine,2024,39437627
Jakob Disease,Apparent Diffusion Coefficient Measurements. A Reliable Tool for the Diagnosis of Creutzfeldt-Jakob Disease.,Archives of medical research,2024,39437617
Molecular characterization of reassortant infectious bursal disease,Molecular characterization of reassortant infectious bursal disease virus (IBDV) strains of genogroup A3B1 detected in some areas of Britain between 2020 and 2021.,Virology,2024,39437533
s disease,Melatonin on sleep in Parkinson's disease: A randomized double blind placebo controlled trial.,Sleep medicine,2024,39437460
Time to Increase Awareness and Diagnosis of Steatotic Liver Disease,Time to Increase Awareness and Diagnosis of Steatotic Liver Disease (MASLD) in Adolescents.,The Journal of clinical endocrinology and metabolism,2024,39437408
Making to Support Classifier Selection for Technology Adoption in Patients with Parkinson Disease,Integrated Approach Using Intuitionistic Fuzzy Multicriteria Decision-Making to Support Classifier Selection for Technology Adoption in Patients with Parkinson Disease: Algorithm Development and Validation.,JMIR rehabilitation and assistive technologies,2024,39437387
s Disease,Risankizumab Is Effective for the Management of Crohn's Disease of the Pouch.,Inflammatory bowel diseases,2024,39437342
transcription factor activity to promote disease,Potato β-aminobutyric acid receptor IBI1 manipulates VOZ1 and VOZ2 transcription factor activity to promote disease resistance.,Plant physiology,2024,39437309
and Opportunities for Digital Intervention for Chronic Disease,"Preparedness, Challenges, and Opportunities for Digital Intervention for Chronic Disease Management: A Qualitative Study in Rural Areas of South Korea.",Health systems and reform,2024,39437233
Impact of synbiotics on disease,Impact of synbiotics on disease activity in systemic lupus erythematosus: Results from a randomized clinical trial.,Journal of food science,2024,39437223
Circulating Extracellular Matrix Products as Indicators of Disease Burden and Predictors of Disease,Circulating Extracellular Matrix Products as Indicators of Disease Burden and Predictors of Disease Course in Ulcerative Colitis.,Inflammatory bowel diseases,2024,39437199
Bundle Pacing for Pulmonary Hypertension With Bradycardia in Congenital Heart Disease,His-Bundle Pacing for Pulmonary Hypertension With Bradycardia in Congenital Heart Disease: A Case Report.,Pacing and clinical electrophysiology : PACE,2024,39437194
Hepatocellular Cancer Surveillance in Patients with Advanced Chronic Liver Disease,Hepatocellular Cancer Surveillance in Patients with Advanced Chronic Liver Disease.,NEJM evidence,2024,39437136
s Disease,Chemotherapy or Immunotherapy in Behçet's Disease?,NEJM evidence,2024,39437135
associated congenital heart disease,Impact of genetic factors on antioxidant rescue of maternal diabetes-associated congenital heart disease.,JCI insight,2024,39437002
Model Imaging Analysis of Moyamoya Disease,Clinical Characteristics and Multi-Model Imaging Analysis of Moyamoya Disease: An Observational Study.,The Journal of craniofacial surgery,2024,39436989
Spatial modeling and ecological suitability of Ebola virus disease,Spatial modeling and ecological suitability of Ebola virus disease in Africa.,PloS one,2024,39436951
The association of micro and macro worries with psychological distress in people living with chronic kidney disease,The association of micro and macro worries with psychological distress in people living with chronic kidney disease during the COVID-19 pandemic.,PloS one,2024,39436948
Lipid management in patients with atherosclerotic cardiovascular disease,Lipid management in patients with atherosclerotic cardiovascular disease: it is time to apply the guidelines!,European journal of preventive cardiology,2024,39436863
How do medical students perceive the role of artificial intelligence in management of gastroesophageal reflux disease,How do medical students perceive the role of artificial intelligence in management of gastroesophageal reflux disease?,Medical teacher,2024,39436823
stage kidney disease,Serum Wnt3A levels are significantly associated with cross-sectional vasculitis activity and end-stage kidney disease during follow-up of patients with antineutrophil cytoplasmic antibody-associated vasculitis.,Clinical and experimental rheumatology,2024,39436730
Impact of a national guideline for the management of peripheral arterial disease,Impact of a national guideline for the management of peripheral arterial disease on revascularization rates in England: interrupted time series analysis.,BJS open,2024,39436641
